#fragment_ID	time (s)	mean	sd
akgM_12345	10	0.99365,0.00331,0.00305,0.00000,0.00000,0.00000	0.03682,0.03757,0.00499,0.00362,0.00362,0.00362
akgM_12345	20	0.95558,0.03683,0.00550,0.00209,0.00000,0.00000	0.03682,0.03757,0.00499,0.00362,0.00362,0.00362
akgM_12345	40	0.96719,0.03075,0.00206,0.00000,0.00000,0.00000	0.03682,0.03757,0.00499,0.00362,0.00362,0.00362
akgC_12345	0	0.98572,0.01428,0.00000,0.00000,0.00000,0.00000	0.03682,0.03757,0.00499,0.00362,0.00362,0.00362
akgC_12345	5	0.98042,0.01672,0.00215,0.00072,0.00000,0.00000	0.03682,0.03757,0.00499,0.00362,0.00362,0.00362
akgC_12345	10	0.99365,0.00331,0.00305,0.00000,0.00000,0.00000	0.03682,0.03757,0.00499,0.00362,0.00362,0.00362
akgC_12345	20	0.95558,0.03683,0.00550,0.00209,0.00000,0.00000	0.03682,0.03757,0.00499,0.00362,0.00362,0.00362
akgC_12345	40	0.96719,0.03075,0.00206,0.00000,0.00000,0.00000	0.03682,0.03757,0.00499,0.00362,0.00362,0.00362
r5pH_12345	0	0.98181,0.01819,0.00000,0.00000,0.00000,0.00000	0.24849,0.25333,0.16895,0.07688,0.09913,0.09913
r5pH_12345	5	0.71334,0.13520,0.15146,0.00000,0.00000,0.00000	0.24849,0.25333,0.16895,0.07688,0.09913,0.09913
r5pH_12345	10	0.55933,0.35127,0.08940,0.00000,0.00000,0.00000	0.24849,0.25333,0.16895,0.07688,0.09913,0.09913
r5pH_12345	20	0.35429,0.37208,0.18716,0.07208,0.01439,0.00000	0.24849,0.25333,0.16895,0.07688,0.09913,0.09913
r5pH_12345	40	0.32512,0.33201,0.15475,0.08354,0.10458,0.00000	0.24849,0.25333,0.16895,0.07688,0.09913,0.09913
n3pgC_123	0	0.99876,0.00124,0.00000,0.00000	0.05296,0.03980,0.01137,0.02382
n3pgC_123	5	0.72519,0.26762,0.00719,0.00000	0.05296,0.03980,0.01137,0.02382
n3pgC_123	10	0.63905,0.33953,0.01914,0.00229	0.05296,0.03980,0.01137,0.02382
n3pgC_123	20	0.49423,0.40324,0.08386,0.01867	0.05296,0.03980,0.01137,0.02382
n3pgC_123	40	0.44734,0.35380,0.15114,0.04772	0.05296,0.03980,0.01137,0.02382
n3pgH_123	0	0.99876,0.00124,0.00000,0.00000	0.05296,0.03980,0.01137,0.02382
n3pgH_123	5	0.72519,0.26762,0.00719,0.00000	0.05296,0.03980,0.01137,0.02382
n3pgH_123	10	0.63905,0.33953,0.01914,0.00229	0.05296,0.03980,0.01137,0.02382
n3pgH_123	20	0.49423,0.40324,0.08386,0.01867	0.05296,0.03980,0.01137,0.02382
n3pgH_123	40	0.44734,0.35380,0.15114,0.04772	0.05296,0.03980,0.01137,0.02382
pepC_123	0	0.99775,0.00225,0.00000,0.00000	0.12537,0.15782,0.07126,0.01442
pepC_123	5	0.83484,0.16516,0.00000,0.00000	0.12537,0.15782,0.07126,0.01442
pepC_123	10	0.73759,0.26147,0.00000,0.00094	0.12537,0.15782,0.07126,0.01442
pepC_123	20	0.57227,0.40251,0.02291,0.00231	0.12537,0.15782,0.07126,0.01442
pepC_123	40	0.31349,0.53443,0.13621,0.01588	0.12537,0.15782,0.07126,0.01442
pepM_123	0	0.99775,0.00225,0.00000,0.00000	0.12537,0.15782,0.07126,0.01442
pepM_123	5	0.83484,0.16516,0.00000,0.00000	0.12537,0.15782,0.07126,0.01442
pepM_123	10	0.73759,0.26147,0.00000,0.00094	0.12537,0.15782,0.07126,0.01442
pepM_123	20	0.57227,0.40251,0.02291,0.00231	0.12537,0.15782,0.07126,0.01442
pepM_123	40	0.31349,0.53443,0.13621,0.01588	0.12537,0.15782,0.07126,0.01442
pepH_123	0	0.99775,0.00225,0.00000,0.00000	0.12537,0.15782,0.07126,0.01442
pepH_123	5	0.83484,0.16516,0.00000,0.00000	0.12537,0.15782,0.07126,0.01442
pepH_123	10	0.73759,0.26147,0.00000,0.00094	0.12537,0.15782,0.07126,0.01442
pepH_123	20	0.57227,0.40251,0.02291,0.00231	0.12537,0.15782,0.07126,0.01442
pepH_123	40	0.31349,0.53443,0.13621,0.01588	0.12537,0.15782,0.07126,0.01442
alaLC_123	0	0.96837,0.03074,0.00053,0.00036	0.01000,0.01000,0.01000,0.01000
alaLC_123	5	0.88844,0.10428,0.00683,0.00046	0.01000,0.01000,0.01000,0.01000
alaLC_123	10	0.76744,0.20671,0.02454,0.00131	0.01000,0.01000,0.01000,0.01000
alaLC_123	20	0.61539,0.30655,0.07236,0.00571	0.01000,0.01000,0.01000,0.01000
alaLC_123	40	0.48547,0.35672,0.13944,0.01836	0.01170,0.01000,0.01000,0.01000
alaLM_123	0	0.96832,0.03096,0.00043,0.00029	0.01000,0.01000,0.01000,0.01000
alaLM_123	5	0.88960,0.10311,0.00675,0.00054	0.01000,0.01000,0.01000,0.01000
alaLM_123	10	0.76902,0.20508,0.02466,0.00125	0.01000,0.01000,0.01000,0.01000
alaLM_123	20	0.61855,0.30452,0.07150,0.00543	0.01000,0.01000,0.01000,0.01000
alaLM_123	40	0.48847,0.35504,0.13797,0.01853	0.01203,0.01000,0.01000,0.01000
citM_123456	0	0.93718,0.06011,0.00143,0.00031,0.00044,0.00029,0.00023	0.01000,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
citM_123456	5	0.92851,0.06746,0.00281,0.00042,0.00030,0.00024,0.00026	0.01000,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
citM_123456	10	0.91019,0.08119,0.00663,0.00108,0.00032,0.00029,0.00030	0.01000,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
citM_123456	20	0.87137,0.10613,0.01830,0.00283,0.00067,0.00044,0.00025	0.01246,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
citM_123456	40	0.80745,0.14319,0.03782,0.00914,0.00150,0.00046,0.00044	0.01726,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
e4pH_1234	0	0.95769,0.04117,0.00053,0.00032,0.00029	0.01000,0.01000,0.01000,0.01000,0.01000
e4pH_1234	5	0.81687,0.16556,0.01609,0.00103,0.00045	0.01000,0.01000,0.01000,0.01000,0.01000
e4pH_1234	10	0.64784,0.29245,0.05463,0.00457,0.00050	0.01000,0.01000,0.01000,0.01000,0.01000
e4pH_1234	20	0.43547,0.39730,0.14262,0.02298,0.00164	0.01000,0.01000,0.01000,0.01000,0.01000
e4pH_1234	40	0.26657,0.41385,0.24623,0.06628,0.00706	0.01000,0.01000,0.01000,0.01000,0.01000
f6pBC_123456	0	0.93717,0.06007,0.00160,0.00031,0.00029,0.00027,0.00030	0.01000,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
f6pBC_123456	5	0.90492,0.08594,0.00746,0.00052,0.00035,0.00038,0.00043	0.01000,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
f6pBC_123456	10	0.78912,0.17016,0.03415,0.00470,0.00079,0.00048,0.00061	0.01252,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
f6pBC_123456	20	0.48737,0.32852,0.13969,0.03671,0.00598,0.00102,0.00071	0.02125,0.01114,0.01000,0.01000,0.01000,0.01000,0.01000
f6pBC_123456	40	0.19087,0.34527,0.28695,0.13289,0.03697,0.00598,0.00107	0.01449,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
fumM_1234	0	0.95792,0.04092,0.00052,0.00029,0.00034	0.01000,0.01000,0.01000,0.01000,0.01000
fumM_1234	5	0.95763,0.04105,0.00070,0.00034,0.00028	0.01000,0.01000,0.01000,0.01000,0.01000
fumM_1234	10	0.95577,0.04215,0.00118,0.00052,0.00038	0.01000,0.01000,0.01000,0.01000,0.01000
fumM_1234	20	0.94993,0.04753,0.00198,0.00029,0.00029	0.01000,0.01000,0.01000,0.01000,0.01000
fumM_1234	40	0.93432,0.05949,0.00513,0.00061,0.00046	0.01000,0.01000,0.01000,0.01000,0.01000
g1pC_123456	0	0.93733,0.06027,0.00118,0.00040,0.00027,0.00027,0.00028	0.01000,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
g1pC_123456	5	0.93710,0.06054,0.00128,0.00026,0.00030,0.00030,0.00023	0.01000,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
g1pC_123456	10	0.93252,0.06381,0.00231,0.00033,0.00027,0.00025,0.00051	0.01000,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
g1pC_123456	20	0.89073,0.09257,0.01256,0.00277,0.00051,0.00045,0.00040	0.01000,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
g1pC_123456	40	0.69443,0.18426,0.08490,0.02799,0.00653,0.00119,0.00069	0.03084,0.01516,0.01088,0.01000,0.01000,0.01000,0.01000
g6pAC_123456	0	0.93725,0.06035,0.00137,0.00025,0.00027,0.00026,0.00025	0.01000,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
g6pAC_123456	5	0.93546,0.06197,0.00149,0.00024,0.00033,0.00026,0.00025	0.01000,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
g6pAC_123456	10	0.92054,0.07286,0.00496,0.00043,0.00052,0.00029,0.00040	0.01000,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
g6pAC_123456	20	0.83748,0.12588,0.02857,0.00580,0.00124,0.00046,0.00057	0.01337,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
g6pAC_123456	40	0.58579,0.22906,0.12561,0.04581,0.01062,0.00223,0.00088	0.03178,0.01460,0.01140,0.01000,0.01000,0.01000,0.01000
glxC_12	0	0.97905,0.02062,0.00033	0.01000,0.01000,0.01000
glxC_12	5	0.97916,0.02051,0.00034	0.01000,0.01000,0.01000
glxC_12	10	0.97897,0.02056,0.00047	0.01000,0.01000,0.01000
glxC_12	20	0.97902,0.02065,0.00032	0.01000,0.01000,0.01000
glxC_12	40	0.97899,0.02066,0.00035	0.01000,0.01000,0.01000
glxH_12	0	0.97882,0.02074,0.00044	0.01000,0.01000,0.01000
glxH_12	5	0.97899,0.02066,0.00035	0.01000,0.01000,0.01000
glxH_12	10	0.97884,0.02074,0.00043	0.01000,0.01000,0.01000
glxH_12	20	0.97888,0.02068,0.00044	0.01000,0.01000,0.01000
glxH_12	40	0.97902,0.02062,0.00036	0.01000,0.01000,0.01000
glxM_12	0	0.97891,0.02064,0.00045	0.01000,0.01000,0.01000
glxM_12	5	0.97398,0.02474,0.00128	0.01000,0.01000,0.01000
glxM_12	10	0.96382,0.03408,0.00211	0.01000,0.01000,0.01000
glxM_12	20	0.94537,0.04969,0.00494	0.01000,0.01000,0.01000
glxM_12	40	0.92087,0.06826,0.01088	0.01225,0.01033,0.01000
glycltH_12	0	0.97898,0.02062,0.00040	0.01000,0.01000,0.01000
glycltH_12	5	0.97875,0.02083,0.00042	0.01000,0.01000,0.01000
glycltH_12	10	0.97888,0.02069,0.00043	0.01000,0.01000,0.01000
glycltH_12	20	0.97872,0.02085,0.00043	0.01000,0.01000,0.01000
glycltH_12	40	0.97822,0.02135,0.00043	0.01000,0.01000,0.01000
icitM_123456	0	0.93744,0.06000,0.00136,0.00032,0.00025,0.00028,0.00034	0.01000,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
icitM_123456	5	0.92882,0.06727,0.00274,0.00042,0.00021,0.00029,0.00025	0.01000,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
icitM_123456	10	0.91119,0.08038,0.00685,0.00081,0.00029,0.00023,0.00025	0.01000,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
icitM_123456	20	0.87266,0.10561,0.01777,0.00271,0.00061,0.00029,0.00036	0.01235,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
icitM_123456	40	0.80718,0.14320,0.03856,0.00885,0.00150,0.00039,0.00032	0.01712,0.01000,0.01000,0.01000,0.01000,0.01000,0.01000
oaaC_1234	0	0.95818,0.04077,0.00054,0.00024,0.00026	0.01000,0.01000,0.01000,0.01000,0.01000
oaaC_1234	5	0.94083,0.05482,0.00335,0.00066,0.00034	0.01000,0.01000,0.01000,0.01000,0.01000
oaaC_1234	10	0.92164,0.06850,0.00855,0.00090,0.00041	0.01000,0.01000,0.01000,0.01000,0.01000
oaaC_1234	20	0.89400,0.08322,0.01884,0.00315,0.00079	0.01513,0.01084,0.01000,0.01000,0.01000
oaaC_1234	40	0.86069,0.09755,0.03257,0.00816,0.00103	0.02017,0.01238,0.01000,0.01000,0.01000
oaaM_1234	0	0.95779,0.04108,0.00048,0.00030,0.00035	0.01000,0.01000,0.01000,0.01000,0.01000
oaaM_1234	5	0.94345,0.05264,0.00305,0.00058,0.00028	0.01000,0.01000,0.01000,0.01000,0.01000
oaaM_1234	10	0.92584,0.06491,0.00769,0.00115,0.00042	0.01000,0.01000,0.01000,0.01000,0.01000
oaaM_1234	20	0.89857,0.08052,0.01725,0.00302,0.00064	0.01399,0.01012,0.01000,0.01000,0.01000
oaaM_1234	40	0.86604,0.09472,0.03044,0.00772,0.00107	0.01870,0.01143,0.01000,0.01000,0.01000
pyrC_123	0	0.96830,0.03088,0.00051,0.00031	0.01000,0.01000,0.01000,0.01000
pyrC_123	5	0.88309,0.10897,0.00740,0.00054	0.01000,0.01000,0.01000,0.01000
pyrC_123	10	0.76166,0.21134,0.02572,0.00128	0.01000,0.01000,0.01000,0.01000
