#fragment_ID	time (s)	mean	sd
malLM_1234	10	0.93847,0.05847,0.00217,0.00060,0.00029	0.03198,0.02900,0.02167,0.00867,0.00374
malLM_1234	20	0.86914,0.10304,0.02335,0.00125,0.00321	0.03198,0.02900,0.02167,0.00867,0.00374
malLM_1234	40	0.83772,0.09961,0.04202,0.01695,0.00370	0.03198,0.02900,0.02167,0.00867,0.00374
gluLC_12345	0	0.99039,0.00494,0.00113,0.00245,0.00000,0.00110	0.02432,0.02002,0.01437,0.00302,0.00160,0.00471
gluLC_12345	5	0.97395,0.01811,0.00016,0.00289,0.00093,0.00396	0.02432,0.02002,0.01437,0.00302,0.00160,0.00471
gluLC_12345	10	0.97555,0.02248,0.00000,0.00143,0.00000,0.00054	0.02432,0.02002,0.01437,0.00302,0.00160,0.00471
gluLC_12345	20	0.95688,0.03363,0.00830,0.00120,0.00000,0.00000	0.02432,0.02002,0.01437,0.00302,0.00160,0.00471
gluLC_12345	40	0.96653,0.02601,0.00593,0.00048,0.00000,0.00104	0.02432,0.02002,0.01437,0.00302,0.00160,0.00471
gluLM_12345	0	0.99039,0.00494,0.00113,0.00245,0.00000,0.00110	0.02432,0.02002,0.01437,0.00302,0.00160,0.00471
gluLM_12345	5	0.97395,0.01811,0.00016,0.00289,0.00093,0.00396	0.02432,0.02002,0.01437,0.00302,0.00160,0.00471
gluLM_12345	10	0.97555,0.02248,0.00000,0.00143,0.00000,0.00054	0.02432,0.02002,0.01437,0.00302,0.00160,0.00471
gluLM_12345	20	0.95688,0.03363,0.00830,0.00120,0.00000,0.00000	0.02432,0.02002,0.01437,0.00302,0.00160,0.00471
gluLM_12345	40	0.96653,0.02601,0.00593,0.00048,0.00000,0.00104	0.02432,0.02002,0.01437,0.00302,0.00160,0.00471
aspLC_1234	0	1.00000,0.00000,0.00000,0.00000,0.00000	0.08967,0.06869,0.02534,0.01507,0.00220
aspLC_1234	5	0.91896,0.08104,0.00000,0.00000,0.00000	0.08967,0.06869,0.02534,0.01507,0.00220
aspLC_1234	10	0.93829,0.05647,0.00244,0.00153,0.00127	0.08967,0.06869,0.02534,0.01507,0.00220
aspLC_1234	20	0.85435,0.11590,0.01304,0.01672,0.00000	0.08967,0.06869,0.02534,0.01507,0.00220
aspLC_1234	40	0.84237,0.12235,0.02854,0.00675,0.00000	0.08967,0.06869,0.02534,0.01507,0.00220
aspLM_1234	0	1.00000,0.00000,0.00000,0.00000,0.00000	0.08967,0.06869,0.02534,0.01507,0.00220
aspLM_1234	5	0.91896,0.08104,0.00000,0.00000,0.00000	0.08967,0.06869,0.02534,0.01507,0.00220
aspLM_1234	10	0.93829,0.05647,0.00244,0.00153,0.00127	0.08967,0.06869,0.02534,0.01507,0.00220
aspLM_1234	20	0.85435,0.11590,0.01304,0.01672,0.00000	0.08967,0.06869,0.02534,0.01507,0.00220
aspLM_1234	40	0.84237,0.12235,0.02854,0.00675,0.00000	0.08967,0.06869,0.02534,0.01507,0.00220
udpgC_123456	0	0.99551,0.00345,0.00000,0.00104,0.00000,0.00000,0.00000	0.04059,0.02870,0.00677,0.00545,0.00448,0.00113,0.00146
udpgC_123456	5	0.98268,0.01473,0.00000,0.00000,0.00259,0.00000,0.00000	0.04059,0.02870,0.00677,0.00545,0.00448,0.00113,0.00146
udpgC_123456	10	0.97974,0.01844,0.00000,0.00183,0.00000,0.00000,0.00000	0.04059,0.02870,0.00677,0.00545,0.00448,0.00113,0.00146
udpgC_123456	20	0.94914,0.04460,0.00271,0.00268,0.00086,0.00000,0.00000	0.04059,0.02870,0.00677,0.00545,0.00448,0.00113,0.00146
udpgC_123456	40	0.94254,0.03686,0.00464,0.00874,0.00563,0.00065,0.00093	0.04059,0.02870,0.00677,0.00545,0.00448,0.00113,0.00146
n2pglycH_12	0	1.00000,0.00000,0.00000	0.08746,0.10472,0.09506
n2pglycH_12	5	0.94994,0.03958,0.01048	0.08746,0.10472,0.09506
n2pglycH_12	10	0.87003,0.11493,0.01505	0.08746,0.10472,0.09506
n2pglycH_12	20	0.84752,0.11399,0.03849	0.08746,0.10472,0.09506
n2pglycH_12	40	0.74689,0.15901,0.09411	0.08746,0.10472,0.09506
akgM_12345	0	0.98572,0.01428,0.00000,0.00000,0.00000,0.00000	0.03682,0.03757,0.00499,0.00362,0.00362,0.00362
akgM_12345	5	0.98042,0.01672,0.00215,0.00072,0.00000,0.00000	0.03682,0.03757,0.00499,0.00362,0.00362,0.00362
